PROT	control.1	control.2	control.3	control.4	control.5	control.6	control.7	control.8	control.9	control.10	mutant.1.A	mutant.1.B	mutant.2	mutant.3
p188	0	0	0	4	0	0	0	0	0	0	3	0	2	5
p189	0	0	0	4	0	0	0	0	0	0	7	5	0	0
p190	0	0	0	4	0	0	0	0	0	0	4	2	4	4
p191	0	0	0	4	0	0	0	0	0	0	7	8	9	19
p192	0	0	0	4	0	0	0	0	0	0	2	3	4	5
p193	0	0	0	0	0	0	0	0	0	4	5	3	0	0
p194	0	0	4	0	0	0	0	0	0	0	4	5	5	4
p195	0	0	2	0	1	0	0	1	0	0	5	3	4	10
p196	0	0	2	1	0	0	0	0	0	1	6	0	3	2
p197	2	1	0	0	0	0	0	0	0	1	4	6	5	7
p198	2	1	0	1	0	0	0	0	0	0	0	5	2	6
p199	2	0	0	0	0	0	1	1	0	0	3	2	3	4
p200	0	2	0	1	0	0	0	0	0	1	0	3	4	4
p201	2	0	1	1	0	0	0	0	0	0	6	5	3	0
p202	0	0	2	1	1	0	0	0	0	0	0	3	4	2
p203	0	2	1	0	0	0	0	0	0	1	0	2	3	0
p204	0	0	2	0	0	1	1	0	0	0	0	2	0	0
p205	2	1	0	1	0	0	0	0	0	0	0	0	2	2
p206	2	1	0	0	0	0	0	0	0	1	3	2	5	4
p207	0	2	0	1	1	0	0	0	0	0	4	5	3	4
p208	2	0	1	0	0	0	0	0	0	1	0	0	2	2
p209	0	2	1	0	0	0	1	0	0	0	10	4	3	7
p210	0	2	1	1	0	0	0	0	0	0	3	3	3	6
p211	0	0	0	3	0	0	0	0	0	0	3	2	2	0
p212	0	0	3	0	0	0	0	0	0	0	3	0	0	0
p213	0	0	3	0	0	0	0	0	0	0	4	0	4	6
p214	0	0	3	0	0	0	0	0	0	0	0	3	5	3
p215	0	0	3	0	0	0	0	0	0	0	2	2	0	0
p216	0	0	3	0	0	0	0	0	0	0	0	0	2	0
p217	0	0	0	3	0	0	0	0	0	0	3	3	3	0
p218	0	0	0	3	0	0	0	0	0	0	0	5	0	2
p219	0	0	0	3	0	0	0	0	0	0	6	12	5	3
p220	0	0	0	3	0	0	0	0	0	0	2	2	2	2
p221	0	0	0	3	0	0	0	0	0	0	7	7	7	6
p222	0	0	0	3	0	0	0	0	0	0	2	0	0	0
p223	0	0	0	3	0	0	0	0	0	0	0	0	0	0
p224	0	0	0	3	0	0	0	0	0	0	0	0	2	0
p225	0	0	0	3	0	0	0	0	0	0	0	2	0	0
p226	0	0	0	3	0	0	0	0	0	0	0	0	0	0
p227	0	0	0	0	0	0	0	0	0	3	0	3	0	0
p228	0	0	0	0	0	0	0	0	0	3	2	0	0	0
p229	0	0	0	0	0	0	0	0	0	3	0	0	0	0
p230	0	0	0	0	0	0	0	0	0	3	0	0	0	0
p231	0	0	2	0	1	0	0	0	0	0	2	3	7	0
p232	2	0	1	0	0	0	0	0	0	0	0	0	3	3
p233	0	0	0	2	0	0	0	0	0	1	6	3	2	0
p234	0	2	1	0	0	0	0	0	0	0	0	0	3	5
p235	2	0	0	0	0	0	0	0	0	1	3	3	3	2
p236	0	2	1	0	0	0	0	0	0	0	3	5	6	4
p237	0	2	1	0	0	0	0	0	0	0	0	5	0	0
p238	0	0	0	0	2	0	0	0	0	1	0	5	2	5
p239	0	0	0	2	0	0	0	0	0	1	3	2	7	4
p240	0	0	2	1	0	0	0	0	0	0	2	5	3	2
p241	0	2	1	0	0	0	0	0	0	0	0	3	3	3
p242	0	2	0	1	0	0	0	0	0	0	0	5	0	2
p243	0	2	1	0	0	0	0	0	0	0	4	2	2	0
p244	0	2	0	0	0	1	0	0	0	0	2	2	3	4
p245	0	2	0	0	1	0	0	0	0	0	4	6	4	5
p246	0	0	2	0	0	0	0	1	0	0	5	3	5	5
p247	0	3	0	0	0	0	0	0	0	0	0	0	0	0
p248	0	2	0	0	0	0	0	0	0	0	0	0	2	6
p249	2	0	0	0	0	0	0	0	0	0	2	2	0	0
p250	2	0	0	0	0	0	0	0	0	0	0	0	0	0
p251	2	0	0	0	0	0	0	0	0	0	2	0	0	0
p252	0	2	0	0	0	0	0	0	0	0	4	2	6	10
